binning,run_number,source_period,target,beam_type,group,energy_low_gev,energy_high_gev,pol1,brem,pol2,pol1_net,pol2_net,total_net,status
ajaka_cross_section,1326,1998_uv,P,UV,P_UV,1.06,1.0966666666666667,59205179.0,8998.119999999999,57994556.0,59196180.88,57985557.88,117181738.76,valid
ajaka_cross_section,1326,1998_uv,P,UV,P_UV,1.0966666666666667,1.1333333333333333,68113971.0,7668.953,66980964.0,68106302.047,66973295.047,135079597.094,valid
ajaka_cross_section,1326,1998_uv,P,UV,P_UV,1.1333333333333333,1.17,73691683.0,9222.943,68504806.0,73682460.057,68495583.057,142178043.114,valid
ajaka_cross_section,1326,1998_uv,P,UV,P_UV,1.17,1.2066666666666666,76963694.0,7027.111000000001,71632409.0,76956666.889,71625381.889,148582048.778,valid
ajaka_cross_section,1326,1998_uv,P,UV,P_UV,1.2066666666666666,1.2433333333333332,79954916.0,6766.729,78931883.0,79948149.271,78925116.271,158873265.542,valid
ajaka_cross_section,1326,1998_uv,P,UV,P_UV,1.2433333333333332,1.28,76658640.0,8440.533000000001,76639816.0,76650199.467,76631375.467,153281574.934,valid
ajaka_cross_section,1326,1998_uv,P,UV,P_UV,1.28,1.3166666666666667,108517909.0,8349.452000000001,111304730.0,108509559.548,111296380.548,219805940.096,valid
ajaka_cross_section,1326,1998_uv,P,UV,P_UV,1.3166666666666667,1.3533333333333333,89369108.0,7385.099999999999,89594511.0,89361722.9,89587125.9,178948848.8,valid
ajaka_cross_section,1326,1998_uv,P,UV,P_UV,1.3533333333333333,1.3900000000000001,106434158.0,7467.629,99254176.0,106426690.371,99246708.371,205673398.742,valid
ajaka_cross_section,1326,1998_uv,P,UV,P_UV,1.3900000000000001,1.4266666666666667,127616644.0,6609.111,127374926.0,127610034.889,127368316.889,254978351.778,valid
ajaka_cross_section,1326,1998_uv,P,UV,P_UV,1.4266666666666667,1.4633333333333334,94863563.0,6572.88,91557669.0,94856990.12,91551096.12,186408086.24,valid
ajaka_cross_section,1326,1998_uv,P,UV,P_UV,1.4633333333333334,1.5,66543841.0,7857.535,68205612.0,66535983.465,68197754.465,134733737.93,valid
ajaka_cross_section,1328,1998_uv,P,UV,P_UV,0.95,0.9866666666666666,61135725.0,27488.591999999997,66908068.0,61108236.408,66880579.408,127988815.816,valid
ajaka_cross_section,1328,1998_uv,P,UV,P_UV,0.9866666666666666,1.0233333333333332,63177047.75,32142.381999999998,67508811.0,63144905.368,67476668.618,130621573.986,valid
ajaka_cross_section,1328,1998_uv,P,UV,P_UV,1.0233333333333332,1.06,65617689.0,26251.280000000002,64529716.0,65591437.72,64503464.72,130094902.44,valid
ajaka_cross_section,1328,1998_uv,P,UV,P_UV,1.06,1.0966666666666667,71145974.0,28290.423,68589128.0,71117683.577,68560837.577,139678521.154,valid
ajaka_cross_section,1328,1998_uv,P,UV,P_UV,1.0966666666666667,1.1333333333333333,75652285.0,28018.204,78958160.0,75624266.796,78930141.796,154554408.592,valid
ajaka_cross_section,1328,1998_uv,P,UV,P_UV,1.1333333333333333,1.17,82229608.0,24780.944,83060579.0,82204827.056,83035798.056,165240625.112,valid
ajaka_cross_section,1328,1998_uv,P,UV,P_UV,1.17,1.2066666666666666,87801003.0,21892.333,88862888.0,87779110.667,88840995.667,176620106.334,valid
ajaka_cross_section,1328,1998_uv,P,UV,P_UV,1.2066666666666666,1.2433333333333332,88880158.0,21813.318000000003,87981492.0,88858344.682,87959678.682,176818023.364,valid
ajaka_cross_section,1328,1998_uv,P,UV,P_UV,1.2433333333333332,1.28,92326864.0,21083.02,97840996.0,92305780.98,97819912.98,190125693.96,valid
ajaka_cross_section,1328,1998_uv,P,UV,P_UV,1.28,1.3166666666666667,115211792.0,24365.399,135675186.0,115187426.601,135650820.601,250838247.20200002,valid
ajaka_cross_section,1328,1998_uv,P,UV,P_UV,1.3166666666666667,1.3533333333333333,109139640.0,20227.121,106591782.0,109119412.879,106571554.879,215690967.758,valid
ajaka_cross_section,1328,1998_uv,P,UV,P_UV,1.3533333333333333,1.3900000000000001,128983438.0,23853.990999999998,120602614.0,128959584.009,120578760.009,249538344.018,valid
ajaka_cross_section,1328,1998_uv,P,UV,P_UV,1.3900000000000001,1.4266666666666667,160332020.0,21181.613,144837118.0,160310838.387,144815936.387,305126774.774,valid
ajaka_cross_section,1328,1998_uv,P,UV,P_UV,1.4266666666666667,1.4633333333333334,115783186.0,16712.263000000003,114928252.0,115766473.737,114911539.737,230678013.474,valid
ajaka_cross_section,1328,1998_uv,P,UV,P_UV,1.4633333333333334,1.5,89081309.0,22098.86,80246467.5,89059210.14,80224368.64,169283578.78,valid
ajaka_cross_section,1329,1998_uv,P,UV,P_UV,0.95,0.9866666666666666,91326662.0,30097.144,67639988.0,91296564.856,67609890.856,158906455.712,valid
ajaka_cross_section,1329,1998_uv,P,UV,P_UV,0.9866666666666666,1.0233333333333332,94491946.0,26462.596,80073405.0,94465483.404,80046942.404,174512425.808,valid
ajaka_cross_section,1329,1998_uv,P,UV,P_UV,1.0233333333333332,1.06,99571340.0,23739.925,73533066.0,99547600.075,73509326.075,173056926.15,valid
ajaka_cross_section,1329,1998_uv,P,UV,P_UV,1.06,1.0966666666666667,104256002.0,23411.722,80345726.0,104232590.278,80322314.278,184554904.556,valid
ajaka_cross_section,1329,1998_uv,P,UV,P_UV,1.0966666666666667,1.1333333333333333,115361924.0,28073.472999999998,94726222.0,115333850.527,94698148.527,210031999.054,valid
ajaka_cross_section,1329,1998_uv,P,UV,P_UV,1.1333333333333333,1.17,133407620.0,25160.763,103155180.0,133382459.237,103130019.237,236512478.474,valid
ajaka_cross_section,1329,1998_uv,P,UV,P_UV,1.17,1.2066666666666666,133911606.0,21937.246,103479080.0,133889668.754,103457142.754,237346811.508,valid
