run_number,source_period,target,beam_type,group,classification_source,source_file,quality_status,reason_codes,nonzero_unmapped_strip_count,negative_net_bin_count,brem_reference_sum,brem_period_median,brem_ratio
1426,1998_uv,P,UV,P_UV,manual,1998_uv/run1426.root,good,,0,0,219631.776,256270.619,0.8570306532096058
1427,1998_uv,P,UV,P_UV,manual,1998_uv/run1427.root,good,,0,0,91319.495,256270.619,0.3563400882876862
1428,1998_uv,P,UV,P_UV,manual,1998_uv/run1428.root,good,,0,0,223939.852,256270.619,0.8738413044532429
1429,1998_uv,P,UV,P_UV,manual,1998_uv/run1429.root,good,,0,0,231063.708,256270.619,0.9016394813484256
1430,1998_uv,P,UV,P_UV,manual,1998_uv/run1430.root,good,,0,0,299329.512,256270.619,1.1680211846680715
1431,1998_uv,P,UV,P_UV,manual,1998_uv/run1431.root,good,,0,0,171396.137,256270.619,0.6688091583374214
1432,1998_uv,P,UV,P_UV,manual,1998_uv/run1432.root,good,,0,0,263913.043,256270.619,1.029821694074107
1433,1998_uv,P,UV,P_UV,manual,1998_uv/run1433.root,good,,0,0,240368.003,256270.619,0.9379460038686682
1434,1998_uv,P,UV,P_UV,manual,1998_uv/run1434.root,good,,0,0,407637.174,256270.619,1.5906512248288596
1435,1998_uv,P,UV,P_UV,manual,1998_uv/run1435.root,good,,0,0,195067.122,256270.619,0.7611763016813098
1436,1998_uv,P,UV,P_UV,manual,1998_uv/run1436.root,good,,0,0,364398.931,256270.619,1.4219301940344553
1437,1998_uv,P,UV,P_UV,manual,1998_uv/run1437.root,good,,0,0,324302.484,256270.619,1.2654688440893804
1438,1998_uv,P,UV,P_UV,manual,1998_uv/run1438.root,good,,0,0,293093.298,256270.619,1.1436866978496665
1439,1998_uv,P,UV,P_UV,manual,1998_uv/run1439.root,good,,0,0,190999.06,256270.619,0.74530221507757
1440,1998_uv,P,UV,P_UV,manual,1998_uv/run1440.root,good,,0,0,250892.844,256270.619,0.9790152495007631
1441,1998_uv,P,UV,P_UV,manual,1998_uv/run1441.root,good,,0,0,119890.314,256270.619,0.46782699658598004
1442,1998_uv,P,UV,P_UV,manual,1998_uv/run1442.root,good,,0,0,106830.024,256270.619,0.41686411191756634
1443,1998_uv,P,UV,P_UV,manual,1998_uv/run1443.root,good,,0,0,231188.96300000002,256270.619,0.9021282420205963
1444,1998_uv,P,UV,P_UV,manual,1998_uv/run1444.root,good,,0,0,354070.57,256270.619,1.3816276379306673
1445,1998_uv,P,UV,P_UV,manual,1998_uv/run1445.root,good,,0,0,194023.596,256270.619,0.7571043327444414
1446,1998_uv,P,UV,P_UV,manual,1998_uv/run1446.root,good,,0,0,136587.01,256270.619,0.5329795921708841
1447,1998_uv,P,UV,P_UV,manual,1998_uv/run1447.root,good,,0,0,269686.96499999997,256270.619,1.052352259702467
1448,1998_uv,P,UV,P_UV,manual,1998_uv/run1448.root,good,,0,0,251049.372,256270.619,0.9796260413293808
1450,1998_uv,P,UV,P_UV,manual,1998_uv/run1450.root,good,,0,0,207233.825,256270.619,0.8086522981395694
1451,1998_uv,P,UV,P_UV,manual,1998_uv/run1451.root,good,,0,0,203738.467,256270.619,0.7950129741560424
1452,1998_uv,P,UV,P_UV,manual,1998_uv/run1452.root,good,,0,0,192412.436,256270.619,0.7508173849613248
1453,1998_uv,P,UV,P_UV,manual,1998_uv/run1453.root,good,,0,0,338517.588,256270.619,1.3209379573863673
1454,1998_uv,P,UV,P_UV,manual,1998_uv/run1454.root,good,,0,0,282171.884,256270.619,1.1010699747831802
1455,1998_uv,P,UV,P_UV,manual,1998_uv/run1455.root,good,,0,0,234283.597,256270.619,0.9142038908486814
1456,1998_uv,P,UV,P_UV,manual,1998_uv/run1456.root,good,,0,0,263895.134,256270.619,1.0297518109167247
1457,1998_uv,P,UV,P_UV,manual,1998_uv/run1457.root,good,,0,0,240815.39800000002,256270.619,0.9396917951019582
1458,1998_uv,P,UV,P_UV,manual,1998_uv/run1458.root,good,,0,0,218776.238,256270.619,0.8536922369551853
1459,1998_uv,P,UV,P_UV,manual,1998_uv/run1459.root,good,,0,0,113449.948,256270.619,0.4426958831359439
1460,1998_uv,P,UV,P_UV,manual,1998_uv/run1460.root,good,,0,0,207094.81100000002,256270.619,0.8081098481289422
1461,1998_uv,P,UV,P_UV,manual,1998_uv/run1461.root,good,,0,0,184421.688,256270.619,0.7196364870839914
1462,1998_uv,P,UV,P_UV,manual,1998_uv/run1462.root,good,,0,0,175311.763,256270.619,0.6840884206082165
