binning,target,beam_type,group,energy_low_gev,energy_high_gev,pol1,brem,pol2,pol1_net,pol2_net,total_net,status
ajaka_sigma,D,UV,D_UV,1.3,1.4,224187501577.78397,39200684.77799999,226080137787.482,224148300893.00595,226040937102.70398,450189237995.70996,valid
ajaka_sigma,D,UV,D_UV,1.4,1.5,191742862505.92697,38052671.731000036,192878131523.19904,191704809834.19598,192840078851.46805,384544888685.66406,valid
ajaka_sigma,D,VIS,D_VIS,1.1,1.2,12182509541.025,22899009.314,12309810422.448,12159610531.711,12286911413.134,24446521944.845,valid
ajaka_sigma,D,VIS,D_VIS,1.2,1.3,913070441.3579998,20950536.802999984,944546879.821,892119904.5549998,923596343.018,1815716247.573,valid
ajaka_sigma,D,VIS,D_VIS,1.3,1.4,722275867.544,18322907.919999998,783551130.121,703952959.6240001,765228222.2010001,1469181181.8250003,valid
ajaka_sigma,D,VIS,D_VIS,1.4,1.5,715334062.7119998,18959985.928000007,697103986.8559998,696374076.7839998,678144000.9279999,1374518077.7119997,valid
ajaka_sigma,P,UV,P_UV,1.1,1.2,277273684472.195,134176847.18199994,271493499960.482,277139507625.013,271359323113.3,548498830738.313,valid
ajaka_sigma,P,UV,P_UV,1.2,1.3,345664113816.32495,132214243.2920001,336457604908.645,345531899573.03296,336325390665.353,681857290238.386,valid
ajaka_sigma,P,UV,P_UV,1.3,1.4,412992246211.33997,117039598.84900019,400357516919.279,412875206612.49097,400240477320.43,813115683932.9209,valid
ajaka_sigma,P,UV,P_UV,1.4,1.5,382844552660.287,112245972.70200011,368839297202.056,382732306687.58496,368727051229.354,751459357916.939,valid
ajaka_sigma,P,VIS,P_VIS,1.1,1.2,15935903704.286001,34263849.401,15757088939.757002,15901639854.885002,15722825090.356003,31624464945.241005,valid
ajaka_sigma,P,VIS,P_VIS,1.2,1.3,1466030194.036,29329988.87399999,1474366882.5540001,1436700205.162,1445036893.68,2881737098.842,valid
ajaka_sigma,P,VIS,P_VIS,1.3,1.4,1243864589.667,27984502.215000007,1228534575.0520003,1215880087.4520001,1200550072.8370004,2416430160.2890005,valid
ajaka_sigma,P,VIS,P_VIS,1.4,1.5,1072547443.6090001,24527311.786000006,1062840032.2810001,1048020131.8230001,1038312720.4950001,2086332852.3180003,valid
